,nodes,techs,carriers,Value,source_model
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2010_2012_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2012_weights_1_9.netcdf
8,netherlands,offshore_wind,power,28486.308393256644,results_plan_cluster_2010_2012_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2012_weights_1_9.netcdf
10,netherlands,solar,power,43313.208705271405,results_plan_cluster_2010_2012_weights_1_9.netcdf
0,netherlands,battery,power,2336.4947277421325,results_plan_cluster_2010_2013_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2013_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7794.063632286202,results_plan_cluster_2010_2013_weights_1_9.netcdf
3,netherlands,electrolyser,power,11990.867126594158,results_plan_cluster_2010_2013_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28212.738163148882,results_plan_cluster_2010_2013_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15799.133371363376,results_plan_cluster_2010_2013_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28212.738163148882,results_plan_cluster_2010_2013_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2013_weights_1_9.netcdf
8,netherlands,offshore_wind,power,28666.286366229317,results_plan_cluster_2010_2013_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2013_weights_1_9.netcdf
10,netherlands,solar,power,43738.0341090151,results_plan_cluster_2010_2013_weights_1_9.netcdf
0,netherlands,battery,power,2351.336576881332,results_plan_cluster_2010_2014_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2014_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,8221.287817558965,results_plan_cluster_2010_2014_weights_1_9.netcdf
3,netherlands,electrolyser,power,12648.135103936862,results_plan_cluster_2010_2014_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2010_2014_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2010_2014_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2010_2014_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2014_weights_1_9.netcdf
8,netherlands,offshore_wind,power,27345.068083693128,results_plan_cluster_2010_2014_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2014_weights_1_9.netcdf
10,netherlands,solar,power,46409.605125754395,results_plan_cluster_2010_2014_weights_1_9.netcdf
0,netherlands,battery,power,2336.031815927281,results_plan_cluster_2010_2015_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2015_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7898.714761585866,results_plan_cluster_2010_2015_weights_1_9.netcdf
3,netherlands,electrolyser,power,12151.868863978254,results_plan_cluster_2010_2015_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28213.00543961341,results_plan_cluster_2010_2015_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15799.283046183511,results_plan_cluster_2010_2015_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28213.00543961341,results_plan_cluster_2010_2015_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2015_weights_1_9.netcdf
8,netherlands,offshore_wind,power,27169.53816488974,results_plan_cluster_2010_2015_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2015_weights_1_9.netcdf
10,netherlands,solar,power,43478.43226973737,results_plan_cluster_2010_2015_weights_1_9.netcdf
0,netherlands,battery,power,2350.1791934535327,results_plan_cluster_2010_2016_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2016_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7507.23305902722,results_plan_cluster_2010_2016_weights_1_9.netcdf
3,netherlands,electrolyser,power,11549.589321580339,results_plan_cluster_2010_2016_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2010_2016_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2010_2016_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2010_2016_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2016_weights_1_9.netcdf
8,netherlands,offshore_wind,power,31087.27450024378,results_plan_cluster_2010_2016_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2016_weights_1_9.netcdf
10,netherlands,solar,power,44788.99560947776,results_plan_cluster_2010_2016_weights_1_9.netcdf
0,netherlands,battery,power,2350.9092619698954,results_plan_cluster_2010_2017_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2017_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,8045.580373896029,results_plan_cluster_2010_2017_weights_1_9.netcdf
3,netherlands,electrolyser,power,12377.815959840045,results_plan_cluster_2010_2017_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2010_2017_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2010_2017_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2010_2017_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2017_weights_1_9.netcdf
8,netherlands,offshore_wind,power,28726.719630671418,results_plan_cluster_2010_2017_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2017_weights_1_9.netcdf
10,netherlands,solar,power,45733.50961385491,results_plan_cluster_2010_2017_weights_1_9.netcdf
0,netherlands,battery,power,2351.3981017438523,results_plan_cluster_2010_2018_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2018_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,8062.447612588567,results_plan_cluster_2010_2018_weights_1_9.netcdf
3,netherlands,electrolyser,power,12403.765557828563,results_plan_cluster_2010_2018_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2010_2018_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2010_2018_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2010_2018_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2018_weights_1_9.netcdf
8,netherlands,offshore_wind,power,27146.137694877798,results_plan_cluster_2010_2018_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2018_weights_1_9.netcdf
10,netherlands,solar,power,45021.4624752285,results_plan_cluster_2010_2018_weights_1_9.netcdf
0,netherlands,battery,power,2350.840307209697,results_plan_cluster_2010_2019_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2019_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7986.895647367253,results_plan_cluster_2010_2019_weights_1_9.netcdf
3,netherlands,electrolyser,power,12287.531765180389,results_plan_cluster_2010_2019_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2010_2019_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2010_2019_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2010_2019_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2019_weights_1_9.netcdf
8,netherlands,offshore_wind,power,28949.67335531332,results_plan_cluster_2010_2019_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2019_weights_1_9.netcdf
10,netherlands,solar,power,40937.11114822528,results_plan_cluster_2010_2019_weights_1_9.netcdf
0,netherlands,battery,power,2336.5921190762,results_plan_cluster_2011_2010_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2011_2010_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7513.380730038655,results_plan_cluster_2011_2010_weights_1_9.netcdf
3,netherlands,electrolyser,power,11559.047276982546,results_plan_cluster_2011_2010_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28212.681931247665,results_plan_cluster_2011_2010_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15799.101881498695,results_plan_cluster_2011_2010_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28212.681931247665,results_plan_cluster_2011_2010_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2010_weights_1_9.netcdf
8,netherlands,offshore_wind,power,28981.185013039056,results_plan_cluster_2011_2010_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2010_weights_1_9.netcdf
10,netherlands,solar,power,41022.61739178523,results_plan_cluster_2011_2010_weights_1_9.netcdf
0,netherlands,battery,power,2336.607855580501,results_plan_cluster_2011_2010_weights_9_1.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2011_2010_weights_9_1.netcdf
2,netherlands,electrolyser,hydrogen,7482.173809891256,results_plan_cluster_2011_2010_weights_9_1.netcdf
3,netherlands,electrolyser,power,11511.036630601931,results_plan_cluster_2011_2010_weights_9_1.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28212.672845289824,results_plan_cluster_2011_2010_weights_9_1.netcdf
5,netherlands,h2_elec_conversion,power,15799.096793362303,results_plan_cluster_2011_2010_weights_9_1.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28212.672845289824,results_plan_cluster_2011_2010_weights_9_1.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2010_weights_9_1.netcdf
8,netherlands,offshore_wind,power,29032.066376967094,results_plan_cluster_2011_2010_weights_9_1.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2010_weights_9_1.netcdf
10,netherlands,solar,power,41063.3735233548,results_plan_cluster_2011_2010_weights_9_1.netcdf
0,netherlands,battery,power,3087.3761580161436,results_plan_cluster_2011_2012_weights_1_9.netcdf
1,netherlands,demand_power,power,18797.0,results_plan_cluster_2011_2012_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7311.512042446902,results_plan_cluster_2011_2012_weights_1_9.netcdf
3,netherlands,electrolyser,power,11248.480065302927,results_plan_cluster_2011_2012_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,26980.45504318414,results_plan_cluster_2011_2012_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15109.05482418312,results_plan_cluster_2011_2012_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,26980.45504318414,results_plan_cluster_2011_2012_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2012_weights_1_9.netcdf
8,netherlands,offshore_wind,power,26239.939390882937,results_plan_cluster_2011_2012_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2012_weights_1_9.netcdf
10,netherlands,solar,power,41862.98902836215,results_plan_cluster_2011_2012_weights_1_9.netcdf
0,netherlands,battery,power,3745.1202127413635,results_plan_cluster_2011_2013_weights_1_9.netcdf
1,netherlands,demand_power,power,18548.0,results_plan_cluster_2011_2013_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7476.643697511606,results_plan_cluster_2011_2013_weights_1_9.netcdf
3,netherlands,electrolyser,power,11502.528765402452,results_plan_cluster_2011_2013_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,26751.263771520986,results_plan_cluster_2011_2013_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,14980.707712051753,results_plan_cluster_2011_2013_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,26751.263771520986,results_plan_cluster_2011_2013_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2013_weights_1_9.netcdf
8,netherlands,offshore_wind,power,25421.449006795512,results_plan_cluster_2011_2013_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2013_weights_1_9.netcdf
10,netherlands,solar,power,43232.309304075134,results_plan_cluster_2011_2013_weights_1_9.netcdf
0,netherlands,battery,power,2612.6955127523242,results_plan_cluster_2011_2014_weights_1_9.netcdf
1,netherlands,demand_power,power,18890.0,results_plan_cluster_2011_2014_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7935.779925491893,results_plan_cluster_2011_2014_weights_1_9.netcdf
3,netherlands,electrolyser,power,12208.89219306445,results_plan_cluster_2011_2014_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,27077.874199810434,results_plan_cluster_2011_2014_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15163.609551893842,results_plan_cluster_2011_2014_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,27077.87419981043,results_plan_cluster_2011_2014_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2014_weights_1_9.netcdf
8,netherlands,offshore_wind,power,25452.154609651836,results_plan_cluster_2011_2014_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2014_weights_1_9.netcdf
10,netherlands,solar,power,48681.71008093341,results_plan_cluster_2011_2014_weights_1_9.netcdf
0,netherlands,battery,power,3423.049919767902,results_plan_cluster_2011_2015_weights_1_9.netcdf
1,netherlands,demand_power,power,18548.0,results_plan_cluster_2011_2015_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7891.058774543675,results_plan_cluster_2011_2015_weights_1_9.netcdf
3,netherlands,electrolyser,power,12140.090422374884,results_plan_cluster_2011_2015_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,27122.91882424611,results_plan_cluster_2011_2015_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15188.834541577822,results_plan_cluster_2011_2015_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,27122.91882424611,results_plan_cluster_2011_2015_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2015_weights_1_9.netcdf
8,netherlands,offshore_wind,power,22206.82302771855,results_plan_cluster_2011_2015_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2015_weights_1_9.netcdf
10,netherlands,solar,power,46703.82835874099,results_plan_cluster_2011_2015_weights_1_9.netcdf
0,netherlands,battery,power,3573.827333776605,results_plan_cluster_2011_2016_weights_1_9.netcdf
1,netherlands,demand_power,power,18548.0,results_plan_cluster_2011_2016_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7165.278776978848,results_plan_cluster_2011_2016_weights_1_9.netcdf
3,netherlands,electrolyser,power,11023.50581073669,results_plan_cluster_2011_2016_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,26830.419853120326,results_plan_cluster_2011_2016_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15025.035117747384,results_plan_cluster_2011_2016_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,26830.419853120326,results_plan_cluster_2011_2016_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2016_weights_1_9.netcdf
8,netherlands,offshore_wind,power,29938.899975723376,results_plan_cluster_2011_2016_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2016_weights_1_9.netcdf
10,netherlands,solar,power,42763.868709982795,results_plan_cluster_2011_2016_weights_1_9.netcdf
0,netherlands,battery,power,5120.09009490233,results_plan_cluster_2011_2017_weights_1_9.netcdf
1,netherlands,demand_power,power,18548.0,results_plan_cluster_2011_2017_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7796.980820229658,results_plan_cluster_2011_2017_weights_1_9.netcdf
3,netherlands,electrolyser,power,11995.35510804563,results_plan_cluster_2011_2017_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,26487.16033390904,results_plan_cluster_2011_2017_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,14832.809786989063,results_plan_cluster_2011_2017_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,26487.16033390904,results_plan_cluster_2011_2017_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2017_weights_1_9.netcdf
8,netherlands,offshore_wind,power,25373.63270005757,results_plan_cluster_2011_2017_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2017_weights_1_9.netcdf
10,netherlands,solar,power,44500.29915242453,results_plan_cluster_2011_2017_weights_1_9.netcdf
0,netherlands,battery,power,3753.224844913306,results_plan_cluster_2011_2018_weights_1_9.netcdf
1,netherlands,demand_power,power,18548.0,results_plan_cluster_2011_2018_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7194.454369751276,results_plan_cluster_2011_2018_weights_1_9.netcdf
3,netherlands,electrolyser,power,11068.391338078885,results_plan_cluster_2011_2018_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,26739.807161962664,results_plan_cluster_2011_2018_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,14974.292010699093,results_plan_cluster_2011_2018_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,26739.807161962664,results_plan_cluster_2011_2018_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2018_weights_1_9.netcdf
8,netherlands,offshore_wind,power,26325.068915620643,results_plan_cluster_2011_2018_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2018_weights_1_9.netcdf
10,netherlands,solar,power,40855.83350155675,results_plan_cluster_2011_2018_weights_1_9.netcdf
0,netherlands,battery,power,3029.2498080295622,results_plan_cluster_2011_2019_weights_1_9.netcdf
1,netherlands,demand_power,power,18548.0,results_plan_cluster_2011_2019_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,6917.677633496353,results_plan_cluster_2011_2019_weights_1_9.netcdf
3,netherlands,electrolyser,power,10642.580974609773,results_plan_cluster_2011_2019_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,26932.770434152,results_plan_cluster_2011_2019_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15082.35144312512,results_plan_cluster_2011_2019_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,26932.770434152,results_plan_cluster_2011_2019_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2011_2019_weights_1_9.netcdf
8,netherlands,offshore_wind,power,27915.01555930959,results_plan_cluster_2011_2019_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2011_2019_weights_1_9.netcdf
10,netherlands,solar,power,37099.11468204802,results_plan_cluster_2011_2019_weights_1_9.netcdf
0,netherlands,battery,power,2350.985464048385,results_plan_cluster_2012_2010_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2012_2010_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,8002.129522411571,results_plan_cluster_2012_2010_weights_1_9.netcdf
3,netherlands,electrolyser,power,12310.968496017802,results_plan_cluster_2012_2010_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2012_2010_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2012_2010_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2012_2010_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2012_2010_weights_1_9.netcdf
8,netherlands,offshore_wind,power,28480.33291022154,results_plan_cluster_2012_2010_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2012_2010_weights_1_9.netcdf
10,netherlands,solar,power,43314.061796740076,results_plan_cluster_2012_2010_weights_1_9.netcdf
0,netherlands,battery,power,2350.9836159608485,results_plan_cluster_2012_2010_weights_9_1.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2012_2010_weights_9_1.netcdf
2,netherlands,electrolyser,hydrogen,7998.149831277413,results_plan_cluster_2012_2010_weights_9_1.netcdf
3,netherlands,electrolyser,power,12304.84589427294,results_plan_cluster_2012_2010_weights_9_1.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2012_2010_weights_9_1.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2012_2010_weights_9_1.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28208.571428571424,results_plan_cluster_2012_2010_weights_9_1.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2012_2010_weights_9_1.netcdf
8,netherlands,offshore_wind,power,28486.308393256644,results_plan_cluster_2012_2010_weights_9_1.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2012_2010_weights_9_1.netcdf
10,netherlands,solar,power,43313.208705271405,results_plan_cluster_2012_2010_weights_9_1.netcdf
0,netherlands,battery,power,3087.574978550854,results_plan_cluster_2012_2011_weights_1_9.netcdf
1,netherlands,demand_power,power,18797.0,results_plan_cluster_2012_2011_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7312.609553887904,results_plan_cluster_2012_2011_weights_1_9.netcdf
3,netherlands,electrolyser,power,11250.16854444293,results_plan_cluster_2012_2011_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,26980.417801935313,results_plan_cluster_2012_2011_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15109.033969083777,results_plan_cluster_2012_2011_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,26980.417801935313,results_plan_cluster_2012_2011_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2012_2011_weights_1_9.netcdf
8,netherlands,offshore_wind,power,26238.864385762216,results_plan_cluster_2012_2011_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2012_2011_weights_1_9.netcdf
10,netherlands,solar,power,41859.52946984419,results_plan_cluster_2012_2011_weights_1_9.netcdf
0,netherlands,battery,power,2178.704830867976,results_plan_cluster_2012_2013_weights_1_9.netcdf
1,netherlands,demand_power,power,18797.0,results_plan_cluster_2012_2013_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7652.259852317081,results_plan_cluster_2012_2013_weights_1_9.netcdf
3,netherlands,electrolyser,power,11772.707465103202,results_plan_cluster_2012_2013_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,27231.34304408218,results_plan_cluster_2012_2013_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15249.552104686021,results_plan_cluster_2012_2013_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,27231.34304408218,results_plan_cluster_2012_2013_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2012_2013_weights_1_9.netcdf
8,netherlands,offshore_wind,power,26849.899776856022,results_plan_cluster_2012_2013_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2012_2013_weights_1_9.netcdf
10,netherlands,solar,power,39719.48295684112,results_plan_cluster_2012_2013_weights_1_9.netcdf
0,netherlands,battery,power,2844.4446199617964,results_plan_cluster_2012_2014_weights_1_9.netcdf
1,netherlands,demand_power,power,18890.0,results_plan_cluster_2012_2014_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7960.2145933091415,results_plan_cluster_2012_2014_weights_1_9.netcdf
3,netherlands,electrolyser,power,12246.48398970637,results_plan_cluster_2012_2014_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,27029.867192128728,results_plan_cluster_2012_2014_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15136.725627592092,results_plan_cluster_2012_2014_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,27029.867192128728,results_plan_cluster_2012_2014_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2012_2014_weights_1_9.netcdf
8,netherlands,offshore_wind,power,27344.999255309915,results_plan_cluster_2012_2014_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2012_2014_weights_1_9.netcdf
10,netherlands,solar,power,44348.68121452985,results_plan_cluster_2012_2014_weights_1_9.netcdf
0,netherlands,battery,power,3430.783671098764,results_plan_cluster_2012_2015_weights_1_9.netcdf
1,netherlands,demand_power,power,18797.0,results_plan_cluster_2012_2015_weights_1_9.netcdf
